id;fecha;nombre;laboratorio;dosis;inyectado;intramuscular;subcutaneo;observacion
1;2021-02-19;deliver;backing up Kansas;26686;NO;NO;NO;payment
2;2021-02-19;HDD;Legacy New Taiwan Dollar;67522;NO;NO;SI;Incredible
3;2021-02-19;Fish RSS;monitor;50528;NO;NO;SI;Senior
4;2021-02-19;Developer;Bedfordshire Guinea;81639;SI;NO;SI;Investor
5;2021-02-19;interface Sleek SDD;experiences Intranet COM;58332;SI;NO;NO;productivity Marketing backing up
6;2021-02-19;Up-sized Kids;PNG hard drive;9392;NO;SI;SI;withdrawal Personal Loan Account
7;2021-02-19;Chips;composite;3364;SI;NO;NO;Architect Vermont
8;2021-02-19;invoice payment;Rustic Soft Sausages Table Handcrafted;54195;NO;SI;SI;West Virginia
9;2021-02-19;Gorgeous Cotton Bike National vertical;Mobility Buckinghamshire District;51245;SI;SI;NO;Auto Loan Account Automotive Micronesia
10;2021-02-19;hybrid Metal;Coordinator Towels;29077;SI;SI;NO;Louisiana Barbados
