id;nombre;area;matricula;codigo_catastral;municipio;vereda;obserrvaciones
1;Louisiana payment Turkey;82661;Identity;Triple-buffered engage Operations;parsing back up monetize;Open-architected Industrial;Money Market Account Cambridgeshire
2;Optimized USB;19822;Money Market Account Fish mobile;withdrawal;Fantastic Coordinator;JBOD Metal navigating;Movies
3;secured line seize;47817;indexing Incredible;deliverables;Buckinghamshire;Indiana;capacitor 24/365 Avon
4;Metal Ball;45670;matrix;Fish invoice;matrix;standardization;Fantastic Steel Car hacking payment
5;Credit Card Account;50365;Security invoice;Car Money Market Account;JSON Ergonomic web services;program Senior;interactive
6;hacking;13343;Analyst content;ivory Investment Account;Nepalese Rupee Computer synthesizing;Ball;Jewelery
7;payment Brunei Dollar;22440;Coordinator Investment Account;Investment Account;Chips Global;reinvent;Colorado
8;Principal;82738;Developer lavender;Bedfordshire;Analyst;applications;reboot Cotton Table
9;Cross-group;94666;1080p Garden Cotton;CSS leading-edge;RAM Bedfordshire indexing;mint green Designer;Illinois panel
10;Pants Savings Account;12408;Factors;optical;Handmade Soft Pizza transmit Extensions;SMTP;maroon Awesome Soft Chips
