id;nombre;descripcion;pasto;area
1;payment;digital;Product;60988
2;Home Loan Account enhance Soft;Car;Cheese;65586
3;cross-platform virtual;deposit Sleek Rubber Chips;Guatemala upward-trending deposit;35693
4;Sausages calculating Sri Lanka;Graphical User Interface matrix Shoes;West Virginia TCP generate;44921
5;PCI;multi-tasking Licensed;Quality neural;96102
6;architectures Creative deposit;web-readiness Paradigm payment;best-of-breed Handcrafted Wooden Cheese;98283
7;program District attitude;Industrial backing up;Savings Account Yemeni Rial seize;70423
8;Implementation optical;gold methodical;Cheese;76418
9;interface Chicken;deposit parse Wooden;auxiliary Generic HTTP;82950
10;Home Loan Account;seamless strategize;interface;36248
