id;fecha_ingreso;fecha_salida;fecha_limpia;dias_descanso;dias_carga;limpia
1;2021-02-19;2021-02-19;2021-02-19;15703;16879;NO
2;2021-02-19;2021-02-19;2021-02-19;30750;78321;NO
3;2021-02-19;2021-02-19;2021-02-19;56971;79748;SI
<<<<<<< HEAD
4;2021-02-20;2021-02-19;2021-02-19;14742;14053;NO
=======
4;2021-02-19;2021-02-19;2021-02-19;14742;14053;NO
>>>>>>> 1e800196f3930793bc6390f3a7eca044600f2c09
5;2021-02-19;2021-02-19;2021-02-19;24436;94333;SI
6;2021-02-19;2021-02-19;2021-02-19;15446;92448;SI
7;2021-02-19;2021-02-19;2021-02-19;13759;54663;NO
8;2021-02-19;2021-02-19;2021-02-19;60008;36162;SI
9;2021-02-19;2021-02-19;2021-02-19;13739;24320;NO
10;2021-02-19;2021-02-19;2021-02-19;56763;10222;SI
