id;nombre;fecha_creacion;estado;observaciones
1;Berkshire;2021-02-19;ACTIVO;virtual Borders
2;Innovative;2021-02-19;INACTIVO;Key
3;Fantastic GB;2021-02-19;INACTIVO;Netherlands Antilles
4;Zambian Kwacha Personal Loan Account seize;2021-02-19;ACTIVO;Corners transmit
5;Steel wireless payment;2021-02-19;ACTIVO;Wooden Computer Face to face
6;silver;2021-02-19;ACTIVO;Small Rubber Table Executive Unbranded Cotton Chair
7;integrate Monitored e-business;2021-02-19;ACTIVO;matrix cultivate Money Market Account
8;online;2021-02-19;INACTIVO;back-end
9;Venezuela Northern Mariana Islands 6th generation;2021-02-19;ACTIVO;methodologies
10;channels;2021-02-19;ACTIVO;incubate
